JockeyId,jockey_win_rate,jockey_win_place_rate
MOD,50.0,50.0
LDM,33.33333333333333,66.66666666666666
PZ,23.205342237061767,49.248747913188645
MCJ,21.487603305785125,44.62809917355372
BAM,16.666666666666664,27.77777777777778
MOJ,16.129032258064516,51.61290322580645
WC,14.814814814814811,29.629629629629623
MR,14.634146341463412,36.58536585365854
BH,12.333333333333334,33.666666666666664
HCY,10.465116279069768,31.3953488372093
FEL,9.896907216494846,25.36082474226804
AA,9.294871794871796,28.685897435897434
AVB,9.284332688588009,28.433268858800776
KRW,8.88888888888889,22.22222222222222
WPN,8.571428571428571,16.666666666666664
DHA,8.333333333333332,29.166666666666668
MTA,8.333333333333332,12.5
WEC,8.19672131147541,25.245901639344265
LDE,7.964601769911504,24.336283185840703
SHB,7.4074074074074066,25.925925925925924
TEK,6.885758998435055,25.821596244131456
BHW,6.852248394004283,22.26980728051392
PMF,6.36042402826855,23.32155477031802
CML,6.196213425129088,22.030981067125648
BA,6.106870229007633,22.519083969465647
CJE,6.084656084656085,17.724867724867725
HEL,5.8350100603621735,21.93158953722334
CHA,5.555555555555555,22.22222222222222
OJM,5.416666666666667,20.0
DMK,4.918032786885246,14.344262295081966
YML,4.576659038901601,16.704805491990847
CCY,4.444444444444445,15.777777777777777
HAA,4.395604395604396,17.94871794871795
MHT,3.333333333333333,10.0
MDE,2.857142857142857,5.714285714285714
TBE,2.368421052631579,13.684210526315791
PA,1.9047619047619049,14.285714285714285
SUG,0.0,0.0
LOW,0.0,0.0
DC,0.0,0.0
CTA,0.0,0.0
RRG,0.0,0.0
OO,0.0,0.0
VM,0.0,0.0
STK,0.0,0.0
KAY,0.0,11.11111111111111
NIA,0.0,0.0
KRM,0.0,0.0
DAA,0.0,50.0
KJL,0.0,25.0
SC,0.0,11.76470588235294
BUW,0.0,16.666666666666664
KCT,0.0,40.0
ZM,0.0,0.0
